ligne,produit,type_image,statut,chemin,coût_estimé
4,Livre de coloriage magique à l'eau (enfant),PACKSHOT,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_1_packshot.png,0.042
4,Livre de coloriage magique à l'eau (enfant),LIFESTYLE,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_2_lifestyle.png,0.042
4,Livre de coloriage magique à l'eau (enfant),EN SITUATION,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_3_en_situation.png,0.042
4,Livre de coloriage magique à l'eau (enfant),DÉTAIL,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_4_detail.png,0.042
4,Livre de coloriage magique à l'eau (enfant),FEATURE,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_5_feature.png,0.042
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",PACKSHOT,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_1_packshot.png,0.042
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",LIFESTYLE,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_2_lifestyle.png,0.042
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",EN SITUATION,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_3_en_situation.png,0.042
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",DÉTAIL,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_4_detail.png,0.042
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",FEATURE,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_5_feature.png,0.042
home-5,HOME — Hero desktop,HOME/COLLECTION,generated,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees_api_test/_home_collections/05_home-hero-desktop.png,0.063
